run,route,model,time_ms
1,gemini,gemini-2.5-flash,720
2,gemini,gemini-2.5-flash,777
3,gemini,gemini-2.5-flash,722
4,gemini,gemini-2.5-flash,776
5,gemini,gemini-2.5-flash,859
6,gemini,gemini-2.5-flash,872
7,gemini,gemini-2.5-flash,586
8,gemini,gemini-2.5-flash,555
9,gemini,gemini-2.5-flash,709
10,gemini,gemini-2.5-flash,779
11,gemini,gemini-2.5-flash,514
12,gemini,gemini-2.5-flash,642
13,gemini,gemini-2.5-flash,777
14,gemini,gemini-2.5-flash,876
15,gemini,gemini-2.5-flash,618
16,gemini,gemini-2.5-flash,821
17,gemini,gemini-2.5-flash,634
18,gemini,gemini-2.5-flash,558
19,gemini,gemini-2.5-flash,543
20,gemini,gemini-2.5-flash,478
21,gemini,gemini-2.5-flash,539
22,gemini,gemini-2.5-flash,841
23,gemini,gemini-2.5-flash,628
24,gemini,gemini-2.5-flash,805
25,gemini,gemini-2.5-flash,652
26,gemini,gemini-2.5-flash,874
27,gemini,gemini-2.5-flash,652
28,gemini,gemini-2.5-flash,635
29,gemini,gemini-2.5-flash,547
30,gemini,gemini-2.5-flash,525
